image,predicted_text
plate (822).jpg,GA03PGA78
plate (823).jpg,GA034FGA47
plate (824).jpg,GA07K1739
plate (825).jpg,GA1147376
plate (826).jpg,
plate (827).jpg,
plate (828).jpg,7G104I2526
plate (829).jpg,GA05J0593
plate (83).jpg,NA12C0511
plate (830).jpg,
plate (831).jpg,2Q05J147
plate (832).jpg,GA06K0755
plate (833).jpg,GA0384787
plate (834).jpg,GA03403895
plate (835).jpg,GA03Z8634
plate (836).jpg,GA05J1747
plate (837).jpg,GA03R5430
plate (838).jpg,GA03P1896
plate (839).jpg,
plate (84).jpg,MH12CD5112
plate (840).jpg,GA0202001
plate (841).jpg,GA03Z8634
plate (842).jpg,GA07P5028
plate (843).jpg,
plate (844).jpg,0A03P9113
plate (845).jpg,GA03R5581
plate (846).jpg,
plate (847).jpg,GA0581509
plate (848).jpg,GA07L5173
plate (849).jpg,GA03AFGA48
plate (85).jpg,HH02GJ1850
plate (850).jpg,
plate (851).jpg,
plate (852).jpg,
plate (853).jpg,
plate (854).jpg,
plate (855).jpg,
plate (856).jpg,GK07I5073
plate (857).jpg,GA0303630
plate (858).jpg,GI04C5552
plate (859).jpg,GA04C5577
plate (86).jpg,GA02Y0746
plate (860).jpg,0A04C9552
plate (861).jpg,
plate (862).jpg,
plate (863).jpg,GA17J76
plate (864).jpg,0A03C3630
plate (865).jpg,GA031353
plate (866).jpg,
plate (867).jpg,
plate (868).jpg,GI1142276
plate (869).jpg,
plate (87).jpg,WD08D8054
plate (870).jpg,GIF11TT
plate (871).jpg,
plate (872).jpg,GATA2076
plate (873).jpg,GA02Z0429
plate (874).jpg,GA03400023
plate (875).jpg,M0246896
plate (876).jpg,GA04C9552
plate (877).jpg,
plate (878).jpg,258H7629J
plate (879).jpg,
plate (88).jpg,GJ190E7373
plate (880).jpg,
plate (881).jpg,
plate (882).jpg,
plate (883).jpg,
plate (884).jpg,GA1147708
plate (885).jpg,
plate (886).jpg,
plate (887).jpg,GA03Z7380
plate (888).jpg,GA1043686
plate (889).jpg,GA03IF7143
plate (89).jpg,
plate (890).jpg,
plate (891).jpg,
plate (892).jpg,GA0AEJ805
plate (893).jpg,GA03Z7280
plate (894).jpg,GA03I2271
plate (895).jpg,ME7526
plate (896).jpg,GA1043686
plate (897).jpg,
plate (898).jpg,GI03Z8610
plate (899).jpg,
plate (9).jpg,0A03Y3271
plate (90).jpg,
plate (900).jpg,GA03Z7380
plate (901).jpg,GA05J0593
plate (902).jpg,
plate (903).jpg,GA024FGA47
plate (904).jpg,GA03Z8610
plate (905).jpg,G3PGA78
plate (906).jpg,GA03403895
plate (907).jpg,
plate (908).jpg,GA0581509
plate (909).jpg,
plate (91).jpg,0103C572J
plate (910).jpg,GA02P1896
plate (911).jpg,GA03R5581
plate (912).jpg,GA03P1896
plate (913).jpg,2G10581509
plate (914).jpg,GA07P5020
plate (915).jpg,
plate (916).jpg,GA03R7113
plate (917).jpg,
plate (918).jpg,GI0581509
plate (919).jpg,GA06K0755
plate (92).jpg,GI034FJ4J
plate (920).jpg,
plate (921).jpg,CK07L5173
plate (922).jpg,GI03AF1402
plate (923).jpg,
plate (924).jpg,0A0321J1
plate (925).jpg,CC5762
plate (926).jpg,
plate (927).jpg,GA03Z7213
plate (928).jpg,GA03AF1402
plate (929).jpg,
plate (93).jpg,
plate (930).jpg,
plate (931).jpg,GA034F1402
plate (932).jpg,
plate (933).jpg,
plate (934).jpg,G03P8750
plate (935).jpg,
plate (936).jpg,
plate (937).jpg,
plate (938).jpg,GA1447795
plate (939).jpg,GA032317
plate (94).jpg,
plate (940).jpg,
plate (941).jpg,JI98E2373
plate (942).jpg,
plate (943).jpg,
plate (944).jpg,0A17708
plate (945).jpg,
plate (946).jpg,GA03Y8630
plate (947).jpg,
plate (948).jpg,GA03A0514
plate (949).jpg,GA03MH5146
plate (95).jpg,GI031F1J
plate (950).jpg,GA03405146
plate (951).jpg,GA0382271
plate (952).jpg,GA1043686
plate (953).jpg,GI03Z7180
plate (954).jpg,GA05J0593
plate (955).jpg,
plate (956).jpg,GA03Z7380
plate (957).jpg,
plate (958).jpg,GI04H2526
plate (959).jpg,
plate (96).jpg,
plate (960).jpg,
plate (961).jpg,
plate (962).jpg,
plate (963).jpg,GA06K0755
plate (964).jpg,GA05J1747
plate (965).jpg,GA0384787
plate (966).jpg,
plate (967).jpg,GA07E2447
plate (968).jpg,
plate (969).jpg,
plate (97).jpg,
plate (970).jpg,GA03403895
plate (971).jpg,GA05J1747
plate (972).jpg,GK0378634
plate (973).jpg,GA03R5130
plate (974).jpg,CA03Y7631
plate (975).jpg,GI07P5028
plate (976).jpg,
plate (977).jpg,JA03R5581
plate (978).jpg,
plate (979).jpg,GA03R7113
plate (98).jpg,EQJC2J
plate (980).jpg,
plate (981).jpg,GX07L5173
plate (982).jpg,GA034FGA48
plate (983).jpg,GA04C9552
plate (984).jpg,GA67L3197
plate (985).jpg,
plate (986).jpg,
plate (987).jpg,GA03405589
plate (988).jpg,GA03Z5252
plate (989).jpg,GA02Z5522
plate (99).jpg,
plate (990).jpg,
plate (991).jpg,
plate (992).jpg,
plate (993).jpg,
plate (994).jpg,
plate (995).jpg,
plate (996).jpg,GA0P9613
plate (997).jpg,GA03R7113
plate (998).jpg,GA03R5581
plate (999).jpg,
